,역명,역간거리,일방통행여부
2호선,시청,1.1,0
2호선,을지로입구,0.7,0
2호선,을지로3가,0.8,0
2호선,을지로4가,0.6,0
2호선,동대문역사문화공원,1,0
2호선,신당,0.9,0
2호선,상왕십리,0.9,0
2호선,왕십리,0.8,0
2호선,한양대,1,0
2호선,뚝섬,1.1,0
2호선,성수,0.8,0
2호선,건대입구,1.2,0
2호선,구의,1.6,0
2호선,강변,0.9,0
2호선,잠실나루,1.8,0
2호선,잠실,1,0
2호선,잠실새내,1.2,0
2호선,종합운동장,1.2,0
2호선,삼성,1,0
2호선,선릉,1.3,0
2호선,역삼,1.2,0
2호선,강남,0.8,0
2호선,교대,1.2,0
2호선,서초,0.7,0
2호선,방배,1.7,0
2호선,사당,1.6,0
2호선,낙성대,1.7,0
2호선,서울대입구,1,0
2호선,봉천,1,0
2호선,신림,1.1,0
2호선,신대방,1.8,0
2호선,구로디지털단지,1.1,0
2호선,대림,1.1,0
2호선,신도림,1.8,0
2호선,문래,1.2,0
2호선,영등포구청,0.9,0
2호선,당산,1.1,0
2호선,합정,2,0
2호선,홍대입구,1.1,0
2호선,신촌(지하),1.3,0
2호선,이대,0.8,0
2호선,아현,0.9,0
2호선,충정로,0.8,0
성수지선,성수,0,0
성수지선,용답,2.3,0
성수지선,신답,1,0
성수지선,용두,0.9,0
성수지선,신설동,1.2,0
신정지선,신도림,0,0
신정지선,도림천,1,0
신정지선,양천구청,1.7,0
신정지선,신정네거리,1.9,0
신정지선,까치산,1.4,0
3호선,대화,0,0
3호선,주업,1.4,0
3호선,정발산,1.6,0
3호선,마두,0.9,0
3호선,백석,1.4,0
3호선,대곡,2.5,0
3호선,화정,2.1,0
3호선,원당,2.6,0
3호선,원흥,2.9,0
3호선,삼송,2.1,0
3호선,지축,1.7,0
3호선,구파발,1.5,0
3호선,연신내,2,0
3호선,불광,1.3,0
3호선,녹번,1.1,0
3호선,홍제,1.6,0
3호선,무악재,0.9,0
3호선,독립문,1.1,0
3호선,경복궁,1.6,0
3호선,안국,1.1,0
3호선,종로3가,1,0
3호선,을지로3가,0.6,0
3호선,충무로,0.7,0
3호선,동대입구,0.9,0
3호선,약수,0.7,0
3호선,금호,0.8,0
3호선,옥수,0.8,0
3호선,압구정,2.1,0
3호선,신사,1.5,0
3호선,잠원,0.9,0
3호선,고속터미널,1.2,0
3호선,교대,1.6,0
3호선,남부터미널,0.9,0
3호선,양재,1.8,0
3호선,매봉,1.2,0
3호선,도곡,0.8,0
3호선,대치,0.8,0
3호선,학여울,0.8,0
3호선,대청,0.9,0
3호선,일원,1.2,0
3호선,수서,1.8,0
3호선,가락시장,1.4,0
3호선,경찰병원,0.8,0
3호선,오금,0.8,0
4호선,당고개,0,0
4호선,상계,1.2,0
4호선,노원,1,0
4호선,창동,1.4,0
4호선,쌍문,1.3,0
4호선,수유,1.5,0
4호선,미아,1.4,0
4호선,미아사거리,1.5,0
4호선,길음,1.3,0
4호선,성신여대입구,1.4,0
4호선,한성대입구,1,0
4호선,혜화,0.9,0
4호선,동대문,1.5,0
4호선,동대문역사문화공원,0.7,0
4호선,충무로,1.3,0
4호선,명동,0.7,0
4호선,회현,0.7,0
4호선,서울역,0.9,0
4호선,숙대입구,1,0
4호선,삼각지,1.2,0
4호선,신용산,0.7,0
4호선,이촌,1.3,0
4호선,동작,2.7,0
4호선,이수,1.8,0
4호선,사당,1.1,0
4호선,남태령,1.6,0
4호선,선바위,2,0
4호선,경마공원,1,0
4호선,대공원,0.9,0
4호선,과천,1,0
4호선,정부과천청사,1,0
4호선,인덕원,3,0
4호선,평촌,1.6,0
4호선,범계,1.3,0
4호선,금정,2.6,0
4호선,산본,2.3,0
4호선,수리산,1.1,0
